From       To         Volume          Cost      
0          1          0.0             0.0       
1          0          0.0             0.0       
0          25         0.0             0.0       
25         0          0.0             0.0       
1          2          0.0             0.0       
2          1          0.0             0.0       
1          26         0.0             0.0       
26         1          0.0             0.0       
2          3          0.0             0.0       
3          2          0.0             0.0       
2          27         0.0             0.0       
27         2          0.0             0.0       
3          4          0.0             0.0       
4          3          0.0             0.0       
3          28         0.0             0.0       
28         3          0.0             0.0       
4          5          0.0             0.0       
5          4          0.0             0.0       
4          29         0.0             0.0       
29         4          0.0             0.0       
5          6          0.0             0.0       
6          5          0.0             0.0       
5          30         0.0             0.0       
30         5          0.0             0.0       
6          7          0.0             0.0       
7          6          0.0             0.0       
6          31         0.0             0.0       
31         6          0.0             0.0       
7          8          0.0             0.0       
8          7          0.0             0.0       
7          32         0.0             0.0       
32         7          0.0             0.0       
8          9          0.0             0.0       
9          8          0.0             0.0       
8          33         0.0             0.0       
33         8          0.0             0.0       
9          10         0.0             0.0       
10         9          0.0             0.0       
9          34         0.0             0.0       
34         9          0.0             0.0       
10         11         0.0             0.0       
11         10         0.0             0.0       
10         35         0.0             0.0       
35         10         0.0             0.0       
11         12         0.0             0.0       
12         11         0.0             0.0       
11         36         0.0             0.0       
36         11         0.0             0.0       
12         13         0.0             0.0       
13         12         0.0             0.0       
12         37         0.0             0.0       
37         12         0.0             0.0       
13         14         0.0             0.0       
14         13         0.0             0.0       
13         38         0.0             0.0       
38         13         0.0             0.0       
14         15         0.0             0.0       
15         14         0.0             0.0       
14         39         0.0             0.0       
39         14         0.0             0.0       
15         16         0.0             0.0       
16         15         0.0             0.0       
15         40         0.0             0.0       
40         15         0.0             0.0       
16         17         0.0             0.0       
17         16         0.0             0.0       
16         41         0.0             0.0       
41         16         0.0             0.0       
17         18         0.0             0.0       
18         17         0.0             0.0       
17         42         0.0             0.0       
42         17         0.0             0.0       
18         19         0.0             0.0       
19         18         0.0             0.0       
18         43         0.0             0.0       
43         18         0.0             0.0       
19         20         0.0             0.0       
20         19         0.0             0.0       
19         44         0.0             0.0       
44         19         0.0             0.0       
20         21         0.0             0.0       
21         20         0.0             0.0       
20         45         0.0             0.0       
45         20         0.0             0.0       
21         22         0.0             0.0       
22         21         0.0             0.0       
21         46         0.0             0.0       
46         21         0.0             0.0       
22         23         0.0             0.0       
23         22         0.0             0.0       
22         47         0.0             0.0       
47         22         0.0             0.0       
23         24         0.0             0.0       
24         23         0.0             0.0       
23         48         0.0             0.0       
48         23         0.0             0.0       
24         49         0.0             0.0       
49         24         0.0             0.0       
25         26         0.0             0.0       
26         25         0.0             0.0       
25         50         0.0             0.0       
50         25         0.0             0.0       
26         27         0.0             0.0       
27         26         0.0             0.0       
26         51         0.0             0.0       
51         26         0.0             0.0       
27         28         0.0             0.0       
28         27         0.0             0.0       
27         52         0.0             0.0       
52         27         0.0             0.0       
28         29         0.0             0.0       
29         28         0.0             0.0       
28         53         0.0             0.0       
53         28         0.0             0.0       
29         30         0.0             0.0       
30         29         0.0             0.0       
29         54         0.0             0.0       
54         29         0.0             0.0       
30         31         0.0             0.0       
31         30         0.0             0.0       
30         55         0.0             0.0       
55         30         0.0             0.0       
31         32         0.0             0.0       
32         31         0.0             0.0       
31         56         0.0             0.0       
56         31         0.0             0.0       
32         33         0.0             0.0       
33         32         0.0             0.0       
32         57         0.0             0.0       
57         32         0.0             0.0       
33         34         0.0             0.0       
34         33         0.0             0.0       
33         58         0.0             0.0       
58         33         0.0             0.0       
34         35         0.0             0.0       
35         34         0.0             0.0       
34         59         0.0             0.0       
59         34         0.0             0.0       
35         36         0.0             0.0       
36         35         0.0             0.0       
35         60         0.0             0.0       
60         35         0.0             0.0       
36         37         0.0             0.0       
37         36         0.0             0.0       
36         61         0.0             0.0       
61         36         0.0             0.0       
37         38         0.0             0.0       
38         37         0.0             0.0       
37         62         0.0             0.0       
62         37         0.0             0.0       
38         39         0.0             0.0       
39         38         0.0             0.0       
38         63         0.0             0.0       
63         38         0.0             0.0       
39         40         0.0             0.0       
40         39         0.0             0.0       
39         64         0.0             0.0       
64         39         0.0             0.0       
40         41         0.0             0.0       
41         40         0.0             0.0       
40         65         0.0             0.0       
65         40         0.0             0.0       
41         42         0.0             0.0       
42         41         0.0             0.0       
41         66         0.0             0.0       
66         41         0.0             0.0       
42         43         0.0             0.0       
43         42         0.0             0.0       
42         67         0.0             0.0       
67         42         0.0             0.0       
43         44         0.0             0.0       
44         43         0.0             0.0       
43         68         0.0             0.0       
68         43         0.0             0.0       
44         45         0.0             0.0       
45         44         0.0             0.0       
44         69         0.0             0.0       
69         44         0.0             0.0       
45         46         0.0             0.0       
46         45         0.0             0.0       
45         70         0.0             0.0       
70         45         0.0             0.0       
46         47         0.0             0.0       
47         46         0.0             0.0       
46         71         0.0             0.0       
71         46         0.0             0.0       
47         48         0.0             0.0       
48         47         0.0             0.0       
47         72         0.0             0.0       
72         47         0.0             0.0       
48         49         0.0             0.0       
49         48         0.0             0.0       
48         73         0.0             0.0       
73         48         0.0             0.0       
49         74         0.0             0.0       
74         49         0.0             0.0       
50         51         0.0             0.0       
51         50         0.0             0.0       
50         75         0.0             0.0       
75         50         0.0             0.0       
51         52         0.0             0.0       
52         51         0.0             0.0       
51         76         0.0             0.0       
76         51         0.0             0.0       
52         53         0.0             0.0       
53         52         0.0             0.0       
52         77         0.0             0.0       
77         52         0.0             0.0       
53         54         0.0             0.0       
54         53         0.0             0.0       
53         78         0.0             0.0       
78         53         0.0             0.0       
