<NUMBER OF ZONES> 198       
<NUMBER OF NODES> 198       
<FIRST THRU NODE> 1         
<NUMBER OF LINKS> 734       
<END OF METADATA>


~          Init       node       Term node       Capacity   Length     Free Flow Time B          Power      Speed limit
           0          1          -               0.0        -          -          -          -          -         
           1          0          -               0.0        -          -          -          -          -         
           0          18         -               0.0        -          -          -          -          -         
           18         0          -               0.0        -          -          -          -          -         
           1          2          -               0.0        -          -          -          -          -         
           2          1          -               0.0        -          -          -          -          -         
           1          19         -               0.0        -          -          -          -          -         
           19         1          -               0.0        -          -          -          -          -         
           2          3          -               0.0        -          -          -          -          -         
           3          2          -               0.0        -          -          -          -          -         
           2          20         -               0.0        -          -          -          -          -         
           20         2          -               0.0        -          -          -          -          -         
           3          4          -               0.0        -          -          -          -          -         
           4          3          -               0.0        -          -          -          -          -         
           3          21         -               0.0        -          -          -          -          -         
           21         3          -               0.0        -          -          -          -          -         
           4          5          -               0.0        -          -          -          -          -         
           5          4          -               0.0        -          -          -          -          -         
           4          22         -               0.0        -          -          -          -          -         
           22         4          -               0.0        -          -          -          -          -         
           5          6          -               0.0        -          -          -          -          -         
           6          5          -               0.0        -          -          -          -          -         
           5          23         -               0.0        -          -          -          -          -         
           23         5          -               0.0        -          -          -          -          -         
           6          7          -               0.0        -          -          -          -          -         
           7          6          -               0.0        -          -          -          -          -         
           6          24         -               0.0        -          -          -          -          -         
           24         6          -               0.0        -          -          -          -          -         
           7          8          -               0.0        -          -          -          -          -         
           8          7          -               0.0        -          -          -          -          -         
           7          25         -               0.0        -          -          -          -          -         
           25         7          -               0.0        -          -          -          -          -         
           8          9          -               0.0        -          -          -          -          -         
           9          8          -               0.0        -          -          -          -          -         
           8          26         -               0.0        -          -          -          -          -         
           26         8          -               0.0        -          -          -          -          -         
           9          10         -               0.0        -          -          -          -          -         
           10         9          -               0.0        -          -          -          -          -         
           9          27         -               0.0        -          -          -          -          -         
           27         9          -               0.0        -          -          -          -          -         
           10         11         -               0.0        -          -          -          -          -         
           11         10         -               0.0        -          -          -          -          -         
           10         28         -               0.0        -          -          -          -          -         
           28         10         -               0.0        -          -          -          -          -         
           11         12         -               0.0        -          -          -          -          -         
           12         11         -               0.0        -          -          -          -          -         
           11         29         -               0.0        -          -          -          -          -         
           29         11         -               0.0        -          -          -          -          -         
           12         13         -               0.0        -          -          -          -          -         
           13         12         -               0.0        -          -          -          -          -         
           12         30         -               0.0        -          -          -          -          -         
           30         12         -               0.0        -          -          -          -          -         
           13         14         -               0.0        -          -          -          -          -         
           14         13         -               0.0        -          -          -          -          -         
           13         31         -               0.0        -          -          -          -          -         
           31         13         -               0.0        -          -          -          -          -         
           14         15         -               0.0        -          -          -          -          -         
           15         14         -               0.0        -          -          -          -          -         
           14         32         -               0.0        -          -          -          -          -         
           32         14         -               0.0        -          -          -          -          -         
           15         16         -               0.0        -          -          -          -          -         
           16         15         -               0.0        -          -          -          -          -         
           15         33         -               0.0        -          -          -          -          -         
           33         15         -               0.0        -          -          -          -          -         
           16         17         -               0.0        -          -          -          -          -         
           17         16         -               0.0        -          -          -          -          -         
           16         34         -               0.0        -          -          -          -          -         
           34         16         -               0.0        -          -          -          -          -         
           17         35         -               0.0        -          -          -          -          -         
           35         17         -               0.0        -          -          -          -          -         
           18         19         -               0.0        -          -          -          -          -         
           19         18         -               0.0        -          -          -          -          -         
           18         36         -               0.0        -          -          -          -          -         
           36         18         -               0.0        -          -          -          -          -         
           19         20         -               0.0        -          -          -          -          -         
           20         19         -               0.0        -          -          -          -          -         
           19         37         -               0.0        -          -          -          -          -         
           37         19         -               0.0        -          -          -          -          -         
           20         21         -               0.0        -          -          -          -          -         
           21         20         -               0.0        -          -          -          -          -         
           20         38         -               0.0        -          -          -          -          -         
           38         20         -               0.0        -          -          -          -          -         
           21         22         -               0.0        -          -          -          -          -         
           22         21         -               0.0        -          -          -          -          -         
           21         39         -               0.0        -          -          -          -          -         
           39         21         -               0.0        -          -          -          -          -         
           22         23         -               0.0        -          -          -          -          -         
           23         22         -               0.0        -          -          -          -          -         
           22         40         -               0.0        -          -          -          -          -         
           40         22         -               0.0        -          -          -          -          -         
           23         24         -               0.0        -          -          -          -          -         
           24         23         -               0.0        -          -          -          -          -         
           23         41         -               0.0        -          -          -          -          -         
           41         23         -               0.0        -          -          -          -          -         
           24         25         -               0.0        -          -          -          -          -         
           25         24         -               0.0        -          -          -          -          -         
           24         42         -               0.0        -          -          -          -          -         
           42         24         -               0.0        -          -          -          -          -         
           25         26         -               0.0        -          -          -          -          -         
           26         25         -               0.0        -          -          -          -          -         
           25         43         -               0.0        -          -          -          -          -         
           43         25         -               0.0        -          -          -          -          -         
           26         27         -               0.0        -          -          -          -          -         
           27         26         -               0.0        -          -          -          -          -         
           26         44         -               0.0        -          -          -          -          -         
           44         26         -               0.0        -          -          -          -          -         
           27         28         -               0.0        -          -          -          -          -         
           28         27         -               0.0        -          -          -          -          -         
           27         45         -               0.0        -          -          -          -          -         
           45         27         -               0.0        -          -          -          -          -         
           28         29         -               0.0        -          -          -          -          -         
           29         28         -               0.0        -          -          -          -          -         
           28         46         -               0.0        -          -          -          -          -         
           46         28         -               0.0        -          -          -          -          -         
           29         30         -               0.0        -          -          -          -          -         
           30         29         -               0.0        -          -          -          -          -         
           29         47         -               0.0        -          -          -          -          -         
           47         29         -               0.0        -          -          -          -          -         
           30         31         -               0.0        -          -          -          -          -         
           31         30         -               0.0        -          -          -          -          -         
           30         48         -               0.0        -          -          -          -          -         
           48         30         -               0.0        -          -          -          -          -         
           31         32         -               0.0        -          -          -          -          -         
           32         31         -               0.0        -          -          -          -          -         
           31         49         -               0.0        -          -          -          -          -         
           49         31         -               0.0        -          -          -          -          -         
           32         33         -               0.0        -          -          -          -          -         
           33         32         -               0.0        -          -          -          -          -         
           32         50         -               0.0        -          -          -          -          -         
           50         32         -               0.0        -          -          -          -          -         
           33         34         -               0.0        -          -          -          -          -         
           34         33         -               0.0        -          -          -          -          -         
           33         51         -               0.0        -          -          -          -          -         
           51         33         -               0.0        -          -          -          -          -         
           34         35         -               0.0        -          -          -          -          -         
           35         34         -               0.0        -          -          -          -          -         
           34         52         -               0.0        -          -          -          -          -         
           52         34         -               0.0        -          -          -          -          -         
           35         53         -               0.0        -          -          -          -          -         
           53         35         -               0.0        -          -          -          -          -         
           36         37         -               0.0        -          -          -          -          -         
           37         36         -               0.0        -          -          -          -          -         
           36         54         -               0.0        -          -          -          -          -         
           54         36         -               0.0        -          -          -          -          -         
           37         38         -               0.0        -          -          -          -          -         
           38         37         -               0.0        -          -          -          -          -         
           37         55         -               0.0        -          -          -          -          -         
           55         37         -               0.0        -          -          -          -          -         
           38         39         -               0.0        -          -          -          -          -         
           39         38         -               0.0        -          -          -          -          -         
           38         56         -               0.0        -          -          -          -          -         
           56         38         -               0.0        -          -          -          -          -         
           39         40         -               0.0        -          -          -          -          -         
           40         39         -               0.0        -          -          -          -          -         
           39         57         -               0.0        -          -          -          -          -         
           57         39         -               0.0        -          -          -          -          -         
           40         41         -               0.0        -          -          -          -          -         
           41         40         -               0.0        -          -          -          -          -         
           40         58         -               0.0        -          -          -          -          -         
           58         40         -               0.0        -          -          -          -          -         
           41         42         -               0.0        -          -          -          -          -         
           42         41         -               0.0        -          -          -          -          -         
           41         59         -               0.0        -          -          -          -          -         
           59         41         -               0.0        -          -          -          -          -         
           42         43         -               0.0        -          -          -          -          -         
           43         42         -               0.0        -          -          -          -          -         
           42         60         -               0.0        -          -          -          -          -         
           60         42         -               0.0        -          -          -          -          -         
           43         44         -               0.0        -          -          -          -          -         
           44         43         -               0.0        -          -          -          -          -         
           43         61         -               0.0        -          -          -          -          -         
           61         43         -               0.0        -          -          -          -          -         
           44         45         -               0.0        -          -          -          -          -         
           45         44         -               0.0        -          -          -          -          -         
           44         62         -               0.0        -          -          -          -          -         
           62         44         -               0.0        -          -          -          -          -         
           45         46         -               0.0        -          -          -          -          -         
           46         45         -               0.0        -          -          -          -          -         
           45         63         -               0.0        -          -          -          -          -         
           63         45         -               0.0        -          -          -          -          -         
           46         47         -               0.0        -          -          -          -          -         
           47         46         -               0.0        -          -          -          -          -         
           46         64         -               0.0        -          -          -          -          -         
           64         46         -               0.0        -          -          -          -          -         
           47         48         -               0.0        -          -          -          -          -         
           48         47         -               0.0        -          -          -          -          -         
           47         65         -               0.0        -          -          -          -          -         
           65         47         -               0.0        -          -          -          -          -         
           48         49         -               0.0        -          -          -          -          -         
           49         48         -               0.0        -          -          -          -          -         
           48         66         -               0.0        -          -          -          -          -         
