<NUMBER OF ZONES> 112       
<NUMBER OF NODES> 112       
<FIRST THRU NODE> 1         
<NUMBER OF LINKS> 402       
<END OF METADATA>


~          Init       node       Term node       Capacity   Length     Free Flow Time B          Power      Speed limit
           0          1          -               0.0        -          -          -          -          -         
           1          0          -               0.0        -          -          -          -          -         
           0          16         -               0.0        -          -          -          -          -         
           16         0          -               0.0        -          -          -          -          -         
           1          2          -               0.0        -          -          -          -          -         
           2          1          -               0.0        -          -          -          -          -         
           1          17         -               0.0        -          -          -          -          -         
           17         1          -               0.0        -          -          -          -          -         
           2          3          -               0.0        -          -          -          -          -         
           3          2          -               0.0        -          -          -          -          -         
           2          18         -               0.0        -          -          -          -          -         
           18         2          -               0.0        -          -          -          -          -         
           3          4          -               0.0        -          -          -          -          -         
           4          3          -               0.0        -          -          -          -          -         
           3          19         -               0.0        -          -          -          -          -         
           19         3          -               0.0        -          -          -          -          -         
           4          5          -               0.0        -          -          -          -          -         
           5          4          -               0.0        -          -          -          -          -         
           4          20         -               0.0        -          -          -          -          -         
           20         4          -               0.0        -          -          -          -          -         
           5          6          -               0.0        -          -          -          -          -         
           6          5          -               0.0        -          -          -          -          -         
           5          21         -               0.0        -          -          -          -          -         
           21         5          -               0.0        -          -          -          -          -         
           6          7          -               0.0        -          -          -          -          -         
           7          6          -               0.0        -          -          -          -          -         
           6          22         -               0.0        -          -          -          -          -         
           22         6          -               0.0        -          -          -          -          -         
           7          8          -               0.0        -          -          -          -          -         
           8          7          -               0.0        -          -          -          -          -         
           7          23         -               0.0        -          -          -          -          -         
           23         7          -               0.0        -          -          -          -          -         
           8          9          -               0.0        -          -          -          -          -         
           9          8          -               0.0        -          -          -          -          -         
           8          24         -               0.0        -          -          -          -          -         
           24         8          -               0.0        -          -          -          -          -         
           9          10         -               0.0        -          -          -          -          -         
           10         9          -               0.0        -          -          -          -          -         
           9          25         -               0.0        -          -          -          -          -         
           25         9          -               0.0        -          -          -          -          -         
           10         11         -               0.0        -          -          -          -          -         
           11         10         -               0.0        -          -          -          -          -         
           10         26         -               0.0        -          -          -          -          -         
           26         10         -               0.0        -          -          -          -          -         
           11         12         -               0.0        -          -          -          -          -         
           12         11         -               0.0        -          -          -          -          -         
           11         27         -               0.0        -          -          -          -          -         
           27         11         -               0.0        -          -          -          -          -         
           12         13         -               0.0        -          -          -          -          -         
           13         12         -               0.0        -          -          -          -          -         
           12         28         -               0.0        -          -          -          -          -         
           28         12         -               0.0        -          -          -          -          -         
           13         14         -               0.0        -          -          -          -          -         
           14         13         -               0.0        -          -          -          -          -         
           13         29         -               0.0        -          -          -          -          -         
           29         13         -               0.0        -          -          -          -          -         
           14         15         -               0.0        -          -          -          -          -         
           15         14         -               0.0        -          -          -          -          -         
           14         30         -               0.0        -          -          -          -          -         
           30         14         -               0.0        -          -          -          -          -         
           15         31         -               0.0        -          -          -          -          -         
           31         15         -               0.0        -          -          -          -          -         
           16         17         -               0.0        -          -          -          -          -         
           17         16         -               0.0        -          -          -          -          -         
           16         32         -               0.0        -          -          -          -          -         
           32         16         -               0.0        -          -          -          -          -         
           17         18         -               0.0        -          -          -          -          -         
           18         17         -               0.0        -          -          -          -          -         
           17         33         -               0.0        -          -          -          -          -         
           33         17         -               0.0        -          -          -          -          -         
           18         19         -               0.0        -          -          -          -          -         
           19         18         -               0.0        -          -          -          -          -         
           18         34         -               0.0        -          -          -          -          -         
           34         18         -               0.0        -          -          -          -          -         
           19         20         -               0.0        -          -          -          -          -         
           20         19         -               0.0        -          -          -          -          -         
           19         35         -               0.0        -          -          -          -          -         
           35         19         -               0.0        -          -          -          -          -         
           20         21         -               0.0        -          -          -          -          -         
           21         20         -               0.0        -          -          -          -          -         
           20         36         -               0.0        -          -          -          -          -         
           36         20         -               0.0        -          -          -          -          -         
           21         22         -               0.0        -          -          -          -          -         
           22         21         -               0.0        -          -          -          -          -         
           21         37         -               0.0        -          -          -          -          -         
           37         21         -               0.0        -          -          -          -          -         
           22         23         -               0.0        -          -          -          -          -         
           23         22         -               0.0        -          -          -          -          -         
           22         38         -               0.0        -          -          -          -          -         
           38         22         -               0.0        -          -          -          -          -         
           23         24         -               0.0        -          -          -          -          -         
           24         23         -               0.0        -          -          -          -          -         
           23         39         -               0.0        -          -          -          -          -         
           39         23         -               0.0        -          -          -          -          -         
           24         25         -               0.0        -          -          -          -          -         
           25         24         -               0.0        -          -          -          -          -         
           24         40         -               0.0        -          -          -          -          -         
           40         24         -               0.0        -          -          -          -          -         
           25         26         -               0.0        -          -          -          -          -         
           26         25         -               0.0        -          -          -          -          -         
           25         41         -               0.0        -          -          -          -          -         
           41         25         -               0.0        -          -          -          -          -         
           26         27         -               0.0        -          -          -          -          -         
           27         26         -               0.0        -          -          -          -          -         
           26         42         -               0.0        -          -          -          -          -         
           42         26         -               0.0        -          -          -          -          -         
           27         28         -               0.0        -          -          -          -          -         
           28         27         -               0.0        -          -          -          -          -         
           27         43         -               0.0        -          -          -          -          -         
           43         27         -               0.0        -          -          -          -          -         
           28         29         -               0.0        -          -          -          -          -         
           29         28         -               0.0        -          -          -          -          -         
           28         44         -               0.0        -          -          -          -          -         
           44         28         -               0.0        -          -          -          -          -         
           29         30         -               0.0        -          -          -          -          -         
           30         29         -               0.0        -          -          -          -          -         
           29         45         -               0.0        -          -          -          -          -         
           45         29         -               0.0        -          -          -          -          -         
           30         31         -               0.0        -          -          -          -          -         
           31         30         -               0.0        -          -          -          -          -         
           30         46         -               0.0        -          -          -          -          -         
           46         30         -               0.0        -          -          -          -          -         
           31         47         -               0.0        -          -          -          -          -         
           47         31         -               0.0        -          -          -          -          -         
           32         33         -               0.0        -          -          -          -          -         
           33         32         -               0.0        -          -          -          -          -         
           32         48         -               0.0        -          -          -          -          -         
           48         32         -               0.0        -          -          -          -          -         
           33         34         -               0.0        -          -          -          -          -         
           34         33         -               0.0        -          -          -          -          -         
           33         49         -               0.0        -          -          -          -          -         
           49         33         -               0.0        -          -          -          -          -         
           34         35         -               0.0        -          -          -          -          -         
           35         34         -               0.0        -          -          -          -          -         
           34         50         -               0.0        -          -          -          -          -         
           50         34         -               0.0        -          -          -          -          -         
           35         36         -               0.0        -          -          -          -          -         
           36         35         -               0.0        -          -          -          -          -         
           35         51         -               0.0        -          -          -          -          -         
           51         35         -               0.0        -          -          -          -          -         
           36         37         -               0.0        -          -          -          -          -         
           37         36         -               0.0        -          -          -          -          -         
           36         52         -               0.0        -          -          -          -          -         
           52         36         -               0.0        -          -          -          -          -         
           37         38         -               0.0        -          -          -          -          -         
           38         37         -               0.0        -          -          -          -          -         
           37         53         -               0.0        -          -          -          -          -         
           53         37         -               0.0        -          -          -          -          -         
           38         39         -               0.0        -          -          -          -          -         
           39         38         -               0.0        -          -          -          -          -         
           38         54         -               0.0        -          -          -          -          -         
           54         38         -               0.0        -          -          -          -          -         
           39         40         -               0.0        -          -          -          -          -         
           40         39         -               0.0        -          -          -          -          -         
           39         55         -               0.0        -          -          -          -          -         
           55         39         -               0.0        -          -          -          -          -         
           40         41         -               0.0        -          -          -          -          -         
           41         40         -               0.0        -          -          -          -          -         
           40         56         -               0.0        -          -          -          -          -         
           56         40         -               0.0        -          -          -          -          -         
           41         42         -               0.0        -          -          -          -          -         
           42         41         -               0.0        -          -          -          -          -         
           41         57         -               0.0        -          -          -          -          -         
           57         41         -               0.0        -          -          -          -          -         
           42         43         -               0.0        -          -          -          -          -         
           43         42         -               0.0        -          -          -          -          -         
           42         58         -               0.0        -          -          -          -          -         
           58         42         -               0.0        -          -          -          -          -         
           43         44         -               0.0        -          -          -          -          -         
           44         43         -               0.0        -          -          -          -          -         
           43         59         -               0.0        -          -          -          -          -         
           59         43         -               0.0        -          -          -          -          -         
           44         45         -               0.0        -          -          -          -          -         
           45         44         -               0.0        -          -          -          -          -         
           44         60         -               0.0        -          -          -          -          -         
           60         44         -               0.0        -          -          -          -          -         
           45         46         -               0.0        -          -          -          -          -         
           46         45         -               0.0        -          -          -          -          -         
           45         61         -               0.0        -          -          -          -          -         
           61         45         -               0.0        -          -          -          -          -         
           46         47         -               0.0        -          -          -          -          -         
           47         46         -               0.0        -          -          -          -          -         
           46         62         -               0.0        -          -          -          -          -         
           62         46         -               0.0        -          -          -          -          -         
           47         63         -               0.0        -          -          -          -          -         
           63         47         -               0.0        -          -          -          -          -         
           48         49         -               0.0        -          -          -          -          -         
           49         48         -               0.0        -          -          -          -          -         
           48         64         -               0.0        -          -          -          -          -         
           64         48         -               0.0        -          -          -          -          -         
           49         50         -               0.0        -          -          -          -          -         
