From       To         Volume          Cost      
0          1          0.0             0.0       
1          0          0.0             0.0       
0          17         0.0             0.0       
17         0          0.0             0.0       
1          2          0.0             0.0       
2          1          0.0             0.0       
1          18         0.0             0.0       
18         1          0.0             0.0       
2          3          0.0             0.0       
3          2          0.0             0.0       
2          19         0.0             0.0       
19         2          0.0             0.0       
3          4          0.0             0.0       
4          3          0.0             0.0       
3          20         0.0             0.0       
20         3          0.0             0.0       
4          5          0.0             0.0       
5          4          0.0             0.0       
4          21         0.0             0.0       
21         4          0.0             0.0       
5          6          0.0             0.0       
6          5          0.0             0.0       
5          22         0.0             0.0       
22         5          0.0             0.0       
6          7          0.0             0.0       
7          6          0.0             0.0       
6          23         0.0             0.0       
23         6          0.0             0.0       
7          8          0.0             0.0       
8          7          0.0             0.0       
7          24         0.0             0.0       
24         7          0.0             0.0       
8          9          0.0             0.0       
9          8          0.0             0.0       
8          25         0.0             0.0       
25         8          0.0             0.0       
9          10         0.0             0.0       
10         9          0.0             0.0       
9          26         0.0             0.0       
26         9          0.0             0.0       
10         11         0.0             0.0       
11         10         0.0             0.0       
10         27         0.0             0.0       
27         10         0.0             0.0       
11         12         0.0             0.0       
12         11         0.0             0.0       
11         28         0.0             0.0       
28         11         0.0             0.0       
12         13         0.0             0.0       
13         12         0.0             0.0       
12         29         0.0             0.0       
29         12         0.0             0.0       
13         14         0.0             0.0       
14         13         0.0             0.0       
13         30         0.0             0.0       
30         13         0.0             0.0       
14         15         0.0             0.0       
15         14         0.0             0.0       
14         31         0.0             0.0       
31         14         0.0             0.0       
15         16         0.0             0.0       
16         15         0.0             0.0       
15         32         0.0             0.0       
32         15         0.0             0.0       
16         33         0.0             0.0       
33         16         0.0             0.0       
17         18         0.0             0.0       
18         17         0.0             0.0       
17         34         0.0             0.0       
34         17         0.0             0.0       
18         19         0.0             0.0       
19         18         0.0             0.0       
18         35         0.0             0.0       
35         18         0.0             0.0       
19         20         0.0             0.0       
20         19         0.0             0.0       
19         36         0.0             0.0       
36         19         0.0             0.0       
20         21         0.0             0.0       
21         20         0.0             0.0       
20         37         0.0             0.0       
37         20         0.0             0.0       
21         22         0.0             0.0       
22         21         0.0             0.0       
21         38         0.0             0.0       
38         21         0.0             0.0       
22         23         0.0             0.0       
23         22         0.0             0.0       
22         39         0.0             0.0       
39         22         0.0             0.0       
23         24         0.0             0.0       
24         23         0.0             0.0       
23         40         0.0             0.0       
40         23         0.0             0.0       
24         25         0.0             0.0       
25         24         0.0             0.0       
24         41         0.0             0.0       
41         24         0.0             0.0       
25         26         0.0             0.0       
26         25         0.0             0.0       
25         42         0.0             0.0       
42         25         0.0             0.0       
26         27         0.0             0.0       
27         26         0.0             0.0       
26         43         0.0             0.0       
43         26         0.0             0.0       
27         28         0.0             0.0       
28         27         0.0             0.0       
27         44         0.0             0.0       
44         27         0.0             0.0       
28         29         0.0             0.0       
29         28         0.0             0.0       
28         45         0.0             0.0       
45         28         0.0             0.0       
29         30         0.0             0.0       
30         29         0.0             0.0       
29         46         0.0             0.0       
46         29         0.0             0.0       
30         31         0.0             0.0       
31         30         0.0             0.0       
30         47         0.0             0.0       
47         30         0.0             0.0       
31         32         0.0             0.0       
32         31         0.0             0.0       
31         48         0.0             0.0       
48         31         0.0             0.0       
32         33         0.0             0.0       
33         32         0.0             0.0       
32         49         0.0             0.0       
49         32         0.0             0.0       
33         50         0.0             0.0       
50         33         0.0             0.0       
34         35         0.0             0.0       
35         34         0.0             0.0       
34         51         0.0             0.0       
51         34         0.0             0.0       
35         36         0.0             0.0       
36         35         0.0             0.0       
35         52         0.0             0.0       
52         35         0.0             0.0       
36         37         0.0             0.0       
37         36         0.0             0.0       
36         53         0.0             0.0       
53         36         0.0             0.0       
37         38         0.0             0.0       
38         37         0.0             0.0       
37         54         0.0             0.0       
54         37         0.0             0.0       
38         39         0.0             0.0       
39         38         0.0             0.0       
38         55         0.0             0.0       
55         38         0.0             0.0       
39         40         0.0             0.0       
40         39         0.0             0.0       
39         56         0.0             0.0       
56         39         0.0             0.0       
40         41         0.0             0.0       
41         40         0.0             0.0       
40         57         0.0             0.0       
57         40         0.0             0.0       
41         42         0.0             0.0       
42         41         0.0             0.0       
41         58         0.0             0.0       
58         41         0.0             0.0       
42         43         0.0             0.0       
43         42         0.0             0.0       
42         59         0.0             0.0       
59         42         0.0             0.0       
43         44         0.0             0.0       
44         43         0.0             0.0       
43         60         0.0             0.0       
60         43         0.0             0.0       
44         45         0.0             0.0       
45         44         0.0             0.0       
44         61         0.0             0.0       
61         44         0.0             0.0       
45         46         0.0             0.0       
46         45         0.0             0.0       
45         62         0.0             0.0       
62         45         0.0             0.0       
46         47         0.0             0.0       
47         46         0.0             0.0       
46         63         0.0             0.0       
63         46         0.0             0.0       
47         48         0.0             0.0       
48         47         0.0             0.0       
47         64         0.0             0.0       
64         47         0.0             0.0       
48         49         0.0             0.0       
49         48         0.0             0.0       
48         65         0.0             0.0       
65         48         0.0             0.0       
49         50         0.0             0.0       
50         49         0.0             0.0       
49         66         0.0             0.0       
66         49         0.0             0.0       
50         67         0.0             0.0       
67         50         0.0             0.0       
51         52         0.0             0.0       
52         51         0.0             0.0       
51         68         0.0             0.0       
68         51         0.0             0.0       
52         53         0.0             0.0       
53         52         0.0             0.0       
52         69         0.0             0.0       
69         52         0.0             0.0       
53         54         0.0             0.0       
54         53         0.0             0.0       
53         70         0.0             0.0       
70         53         0.0             0.0       
54         55         0.0             0.0       
55         54         0.0             0.0       
