From       To         Volume          Cost      
0          1          0.0             0.0       
1          0          0.0             0.0       
0          33         0.0             0.0       
33         0          0.0             0.0       
1          2          0.0             0.0       
2          1          0.0             0.0       
1          34         0.0             0.0       
34         1          0.0             0.0       
2          3          0.0             0.0       
3          2          0.0             0.0       
2          35         0.0             0.0       
35         2          0.0             0.0       
3          4          0.0             0.0       
4          3          0.0             0.0       
3          36         0.0             0.0       
36         3          0.0             0.0       
4          5          0.0             0.0       
5          4          0.0             0.0       
4          37         0.0             0.0       
37         4          0.0             0.0       
5          6          0.0             0.0       
6          5          0.0             0.0       
5          38         0.0             0.0       
38         5          0.0             0.0       
6          7          0.0             0.0       
7          6          0.0             0.0       
6          39         0.0             0.0       
39         6          0.0             0.0       
7          8          0.0             0.0       
8          7          0.0             0.0       
7          40         0.0             0.0       
40         7          0.0             0.0       
8          9          0.0             0.0       
9          8          0.0             0.0       
8          41         0.0             0.0       
41         8          0.0             0.0       
9          10         0.0             0.0       
10         9          0.0             0.0       
9          42         0.0             0.0       
42         9          0.0             0.0       
10         11         0.0             0.0       
11         10         0.0             0.0       
10         43         0.0             0.0       
43         10         0.0             0.0       
11         12         0.0             0.0       
12         11         0.0             0.0       
11         44         0.0             0.0       
44         11         0.0             0.0       
12         13         0.0             0.0       
13         12         0.0             0.0       
12         45         0.0             0.0       
45         12         0.0             0.0       
13         14         0.0             0.0       
14         13         0.0             0.0       
13         46         0.0             0.0       
46         13         0.0             0.0       
14         15         0.0             0.0       
15         14         0.0             0.0       
14         47         0.0             0.0       
47         14         0.0             0.0       
15         16         0.0             0.0       
16         15         0.0             0.0       
15         48         0.0             0.0       
48         15         0.0             0.0       
16         17         0.0             0.0       
17         16         0.0             0.0       
16         49         0.0             0.0       
49         16         0.0             0.0       
17         18         0.0             0.0       
18         17         0.0             0.0       
17         50         0.0             0.0       
50         17         0.0             0.0       
18         19         0.0             0.0       
19         18         0.0             0.0       
18         51         0.0             0.0       
51         18         0.0             0.0       
19         20         0.0             0.0       
20         19         0.0             0.0       
19         52         0.0             0.0       
52         19         0.0             0.0       
20         21         0.0             0.0       
21         20         0.0             0.0       
20         53         0.0             0.0       
53         20         0.0             0.0       
21         22         0.0             0.0       
22         21         0.0             0.0       
21         54         0.0             0.0       
54         21         0.0             0.0       
22         23         0.0             0.0       
23         22         0.0             0.0       
22         55         0.0             0.0       
55         22         0.0             0.0       
23         24         0.0             0.0       
24         23         0.0             0.0       
23         56         0.0             0.0       
56         23         0.0             0.0       
24         25         0.0             0.0       
25         24         0.0             0.0       
24         57         0.0             0.0       
57         24         0.0             0.0       
25         26         0.0             0.0       
26         25         0.0             0.0       
25         58         0.0             0.0       
58         25         0.0             0.0       
26         27         0.0             0.0       
27         26         0.0             0.0       
26         59         0.0             0.0       
59         26         0.0             0.0       
27         28         0.0             0.0       
28         27         0.0             0.0       
27         60         0.0             0.0       
60         27         0.0             0.0       
28         29         0.0             0.0       
29         28         0.0             0.0       
28         61         0.0             0.0       
61         28         0.0             0.0       
29         30         0.0             0.0       
30         29         0.0             0.0       
29         62         0.0             0.0       
62         29         0.0             0.0       
30         31         0.0             0.0       
31         30         0.0             0.0       
30         63         0.0             0.0       
63         30         0.0             0.0       
31         32         0.0             0.0       
32         31         0.0             0.0       
31         64         0.0             0.0       
64         31         0.0             0.0       
32         65         0.0             0.0       
65         32         0.0             0.0       
33         34         0.0             0.0       
34         33         0.0             0.0       
33         66         0.0             0.0       
66         33         0.0             0.0       
34         35         0.0             0.0       
35         34         0.0             0.0       
34         67         0.0             0.0       
67         34         0.0             0.0       
35         36         0.0             0.0       
36         35         0.0             0.0       
35         68         0.0             0.0       
68         35         0.0             0.0       
36         37         0.0             0.0       
37         36         0.0             0.0       
36         69         0.0             0.0       
69         36         0.0             0.0       
37         38         0.0             0.0       
38         37         0.0             0.0       
37         70         0.0             0.0       
70         37         0.0             0.0       
38         39         0.0             0.0       
39         38         0.0             0.0       
38         71         0.0             0.0       
71         38         0.0             0.0       
39         40         0.0             0.0       
40         39         0.0             0.0       
39         72         0.0             0.0       
72         39         0.0             0.0       
40         41         0.0             0.0       
41         40         0.0             0.0       
40         73         0.0             0.0       
73         40         0.0             0.0       
41         42         0.0             0.0       
42         41         0.0             0.0       
41         74         0.0             0.0       
74         41         0.0             0.0       
42         43         0.0             0.0       
43         42         0.0             0.0       
42         75         0.0             0.0       
75         42         0.0             0.0       
43         44         0.0             0.0       
44         43         0.0             0.0       
43         76         0.0             0.0       
76         43         0.0             0.0       
44         45         0.0             0.0       
45         44         0.0             0.0       
44         77         0.0             0.0       
77         44         0.0             0.0       
45         46         0.0             0.0       
46         45         0.0             0.0       
45         78         0.0             0.0       
78         45         0.0             0.0       
46         47         0.0             0.0       
47         46         0.0             0.0       
46         79         0.0             0.0       
79         46         0.0             0.0       
47         48         0.0             0.0       
48         47         0.0             0.0       
47         80         0.0             0.0       
80         47         0.0             0.0       
48         49         0.0             0.0       
49         48         0.0             0.0       
48         81         0.0             0.0       
81         48         0.0             0.0       
49         50         0.0             0.0       
50         49         0.0             0.0       
49         82         0.0             0.0       
82         49         0.0             0.0       
50         51         0.0             0.0       
51         50         0.0             0.0       
50         83         0.0             0.0       
83         50         0.0             0.0       
51         52         0.0             0.0       
52         51         0.0             0.0       
51         84         0.0             0.0       
84         51         0.0             0.0       
52         53         0.0             0.0       
53         52         0.0             0.0       
52         85         0.0             0.0       
85         52         0.0             0.0       
53         54         0.0             0.0       
54         53         0.0             0.0       
